區塊,項目,n_requests,cost_usd,佔比基準,佔比,備註
彙總,總金額,120520,2749.32,總金額,1.0,
四段拆分,未快取 prompt,74599,844.87,總金額,0.3073,
四段拆分,快取讀,54099,782.47,總金額,0.2846,費率遠低於未快取
四段拆分,快取寫,28629,515.79,總金額,0.1876,部分模型族才有這一段
四段拆分,輸出,73669,606.19,總金額,0.2205,
price_confidence,confirmed,207872,2156.29,總金額,0.7843,涉及筆數跨列相加會超過總筆數（一筆的四段可分屬不同桶）
price_confidence,inferred,13407,372.4,總金額,0.1355,涉及筆數跨列相加會超過總筆數（一筆的四段可分屬不同桶）
price_confidence,promotional,7368,193.85,總金額,0.0705,涉及筆數跨列相加會超過總筆數（一筆的四段可分屬不同桶）
price_confidence,provisional,2349,26.78,總金額,0.0097,涉及筆數跨列相加會超過總筆數（一筆的四段可分屬不同桶）
長上下文,"prompt_tokens > 272,000",102,77.67,總金額,0.0283,適用另一組約兩倍的價格
資料品質,confidence=low（08-18／08-19）,5593,153.12,總金額,0.0557,"那兩天有 1,596 筆 2xx 請求 token 記成 0，金額偏低"
